Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
LBX146	continuous	492	TRUE	33.4737977894539	12.7148901605742	0.0174585707633789	None	None	0.0174585707633789	LBXHGB	WTSPO4YR	1	0.0937913196232116	pcbs	Discovery	Hemoglobin
DR1TP182	continuous	3604	TRUE	0.00697526639496578	0.00265153981753752	0.0175310877800396	None	None	0.0175310877800396	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0937913196232116	food component recall	Discovery	Hemoglobin
URXP14	continuous	970	TRUE	-0.00708392614616576	0.0027202205083001	0.0185194781059818	None	None	0.0185194781059818	LBXHGB	WTMEC4YR	1	0.0945454053146504	hydrocarbons	Discovery	Hemoglobin
DR1TM181	continuous	3604	TRUE	0.00399761236736529	0.00153563510701303	0.0185556402953987	None	None	0.0185556402953987	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0945454053146504	food component recall	Discovery	Hemoglobin
VITAMIN_A_IU	continuous	4235	TRUE	6.27036280878354e-06	3.56362924472851e-07	8.68270543630821e-13	None	None	8.68270543630821e-13	LBXIRN	WTMEC4YR	1.12006900128376e-10	1.12006900128376e-10	supplement use	Discovery	Iron
IRON_mg	continuous	4250	TRUE	0.00177645686665696	0.000125661494588847	3.46013901644323e-11	None	None	3.46013901644323e-11	LBXIRN	WTMEC4YR	4.46357933121177e-09	1.83473694994835e-09	supplement use	Discovery	Iron
FOLIC_ACID_mcg	continuous	4238	TRUE	8.12153839763983e-05	5.81806295909297e-06	4.26683011615896e-11	None	None	4.26683011615896e-11	LBXIRN	WTMEC4YR	5.50421084984506e-09	1.83473694994835e-09	supplement use	Discovery	Iron
VITAMIN_B_12_mcg	continuous	4236	TRUE	0.00540292452929826	0.00056667276782156	1.85045355823556e-08	None	None	1.85045355823556e-08	LBXIRN	WTMEC4YR	2.38708509012387e-06	5.96771272530967e-07	supplement use	Discovery	Iron
CALCIUM_mg	continuous	4243	TRUE	0.000299480275577379	3.26046696957368e-05	3.24879606476387e-08	None	None	3.24879606476387e-08	LBXIRN	WTMEC4YR	4.1909469235454e-06	8.38189384709079e-07	supplement use	Discovery	Iron
LBXVIA	continuous	3909	TRUE	0.999572696129905	0.1215550696644	1.65245413995902e-07	None	None	1.65245413995902e-07	LBXIRN	WTMEC4YR	2.13166584054714e-05	3.5527764009119e-06	nutrients	Discovery	Iron
RIBOFLAVIN_mg	continuous	4236	TRUE	0.018156563343229	0.00295983969772868	8.56984507544147e-06	None	None	8.56984507544147e-06	LBXIRN	WTMEC4YR	0.00110551001473195	0.000157930002104564	supplement use	Discovery	Iron
LBXGTC	continuous	3617	TRUE	-0.0504622632581775	0.00839289259098171	1.09852373551157e-05	None	None	1.09852373551157e-05	LBXIRN	WTMEC4YR	0.00141709561880992	0.00017713695235124	nutrients	Discovery	Iron
VITAMIN_B_6_mg	continuous	4235	TRUE	0.0161107526090605	0.0036837274087651	0.000366330503661934	None	None	0.000366330503661934	LBXIRN	WTMEC4YR	0.0472566349723895	0.00525073721915439	supplement use	Discovery	Iron
THIAMIN_mg	continuous	4235	TRUE	0.0215731010748879	0.0052950763056553	0.000711972405049388	None	None	0.000711972405049388	LBXIRN	WTMEC4YR	0.0918444402513711	0.00908123927378558	supplement use	Discovery	Iron
URXMCP	continuous	1089	TRUE	0.227094686993041	0.0566358554119688	0.000821819744340091	None	None	0.000821819744340091	LBXIRN	WTSPH4YR	0.106014747019872	0.00908123927378558	phthalates	Discovery	Iron
VITAMIN_C_mg	continuous	4227	TRUE	0.000692868769514757	0.000173331233821134	0.000844766444073077	None	None	0.000844766444073077	LBXIRN	WTMEC4YR	0.108974871285427	0.00908123927378558	supplement use	Discovery	Iron
LBXCOT	continuous	3833	TRUE	0.193514766963083	0.0604240425310117	0.00493407504081937	None	None	0.00493407504081937	LBXIRN	WTMEC4YR	0.636495680265698	0.0489612061742845	cotinine	Discovery	Iron
DR1TP184	continuous	4048	TRUE	85.0758532651147	29.3535529263733	0.00958018600956932	None	None	0.00958018600956932	LBXIRN	WTDR4YR (53 observations are missing weights)	1	0.0882745710881745	food component recall	Discovery	Iron
LBXB12	continuous	3903	TRUE	0.000163878820321309	2.07418955434247e-05	4.32354432002493e-07	None	None	4.32354432002493e-07	logLBXRBF	WTMEC4YR	9.2956202880536e-05	9.2956202880536e-05	nutrients	Discovery	Folate
URXOP3	continuous	1334	TRUE	5.68599475041832e-07	8.33915195678076e-08	2.99046185628727e-06	None	None	2.99046185628727e-06	logLBXRBF	WTSPP4YR	0.000642949299101763	0.000321474649550882	diakyl	Discovery	Folate
LBXGHC	continuous	496	TRUE	-1.63715016545979	0.287139987424121	2.59692098458963e-05	None	None	2.59692098458963e-05	logLBXRBF	WTSPO4YR	0.0055833801168677	0.00186112670562257	pesticides	Discovery	Folate
URXP08	continuous	1014	TRUE	0.000348158570224096	6.53203309210613e-05	5.5264941818573e-05	None	None	5.5264941818573e-05	logLBXRBF	WTSPH4YR	0.0118819624909932	0.0029704906227483	hydrocarbons	Discovery	Folate
URXMOP	continuous	1084	TRUE	0.00768788612996462	0.00157718520374215	0.000142619579519509	None	None	0.000142619579519509	logLBXRBF	WTSPH4YR	0.0306632095966945	0.00613264191933891	phthalates	Discovery	Folate
supplement_count	continuous	3987	TRUE	0.0445526090720716	0.0100581277057788	0.000367189725804589	None	None	0.000367189725804589	logLBXRBF	WTMEC4YR	0.0789457910479867	0.0131576318413311	supplement use	Discovery	Folate
LBX153	continuous	497	TRUE	-0.453716829200713	0.115162063585752	0.00105641943466982	None	None	0.00105641943466982	logLBXRBF	WTSPO4YR	0.227130178454012	0.027870321814479	pcbs	Discovery	Folate
LBX138	continuous	494	TRUE	-0.702417305425507	0.178439093786621	0.00106413890320763	None	None	0.00106413890320763	logLBXRBF	WTSPO4YR	0.228789864189641	0.027870321814479	pcbs	Discovery	Folate
URXMZP	continuous	1084	TRUE	0.00025452004649216	6.53613125167744e-05	0.00116666463409447	None	None	0.00116666463409447	logLBXRBF	WTSPH4YR	0.250832896330311	0.027870321814479	phthalates	Discovery	Folate
DR1TTHEO	continuous	3770	TRUE	-0.000154226605772201	4.12306777385451e-05	0.00162788684402213	None	None	0.00162788684402213	logLBXRBF	WTDR4YR (48 observations are missing weights)	0.349995671464758	0.0349995671464758	food component recall	Discovery	Folate
LBXVIA	continuous	3866	TRUE	0.00296324472509814	0.000857691912426968	0.0030257743846445	None	None	0.0030257743846445	logLBXRBF	WTMEC4YR	0.650541492698568	0.0591401356998699	nutrients	Discovery	Folate
LBXVIE	continuous	3851	TRUE	0.000106081872270899	3.17794893799278e-05	0.00389625427629797	None	None	0.00389625427629797	logLBXRBF	WTMEC4YR	0.837694669404063	0.0698078891170052	nutrients	Discovery	Folate
LBXGTC	continuous	3574	TRUE	-0.000273842088373883	8.3353635558858e-05	0.00436641494613295	None	None	0.00436641494613295	logLBXRBF	WTMEC4YR	0.938779213418585	0.0703562460420464	nutrients	Discovery	Folate
URXP07	continuous	1011	TRUE	-8.8455622888698e-06	2.7108429201423e-06	0.00458133695157512	None	None	0.00458133695157512	logLBXRBF	WTSPH4YR	0.98498744458865	0.0703562460420464	hydrocarbons	Discovery	Folate
URXUSB	continuous	998	TRUE	-0.0886772096373708	0.0282296753572578	0.00595346256064895	None	None	0.00595346256064895	logLBXRBF	WTSHM4YR	1	0.0853126370372136	heavy metals	Discovery	Folate
LBX183	continuous	497	TRUE	-3.27408499614591	1.05231940250333	0.00634884740742055	None	None	0.00634884740742055	logLBXRBF	WTSPO4YR	1	0.0853126370372136	pcbs	Discovery	Folate
VITAMIN_C_mg	continuous	3979	TRUE	0.000196204344869291	6.39463909085925e-05	0.00696191907443152	None	None	0.00696191907443152	logLBXRBF	WTMEC4YR	1	0.086276550189322	supplement use	Discovery	Folate
LBXPDE	continuous	502	TRUE	-0.00943989544015746	0.00311932683020547	0.00761582316588797	None	None	0.00761582316588797	logLBXRBF	WTSPO4YR	1	0.086276550189322	pesticides	Discovery	Folate
URXP05	continuous	1034	TRUE	-9.69943062003518e-06	3.20564885139714e-06	0.00762443931905636	None	None	0.00762443931905636	logLBXRBF	WTSPH4YR	1	0.086276550189322	hydrocarbons	Discovery	Folate
LBX177	continuous	491	TRUE	-3.64848935035227	1.22138708755296	0.00827800416379032	None	None	0.00827800416379032	logLBXRBF	WTSPO4YR	1	0.0889885447607459	pcbs	Discovery	Folate
LBXVID	continuous	1679	TRUE	0.00469437850879513	0.00100337803467008	0.00945774164479709	None	None	0.00945774164479709	logLBXRBF	WTMEC4YR	1	0.0968292596967321	nutrients	Discovery	Folate
URXOP3	continuous	1264	TRUE	2.03367438403082e-06	1.23103410302219e-07	1.78197054197053e-11	None	None	1.78197054197053e-11	logLBXB12	WTSPP4YR	3.688679021879e-09	3.688679021879e-09	diakyl	Discovery	VB12
LBXFOL	continuous	3745	TRUE	0.0115739688203133	0.000876130873583216	5.05278186419675e-10	None	None	5.05278186419675e-10	logLBXB12	WTMEC4YR	1.04592584588873e-07	5.22962922944363e-08	nutrients	Discovery	VB12
LBXVIE	continuous	3699	TRUE	0.000239772975148145	3.34344582321311e-05	2.22249987346632e-06	None	None	2.22249987346632e-06	logLBXB12	WTMEC4YR	0.000460057473807527	0.000153352491269176	nutrients	Discovery	VB12
LBXRBF	continuous	3737	TRUE	0.000793883065095104	0.000121045087310092	6.58325853023345e-06	None	None	6.58325853023345e-06	logLBXB12	WTMEC4YR	0.00136273451575832	0.000340683628939581	nutrients	Discovery	VB12
URXMZP	continuous	1043	TRUE	-0.000333923525259079	6.52376766107089e-05	0.000103116018478185	None	None	0.000103116018478185	logLBXB12	WTSPH4YR	0.0213450158249843	0.00426900316499686	phthalates	Discovery	VB12
LBXGHC	continuous	483	TRUE	-2.14661757862833	0.444395170733619	0.000184527842533538	None	None	0.000184527842533538	logLBXB12	WTSPO4YR	0.0381972634044423	0.00599893007157868	pesticides	Discovery	VB12
DR1TVB2	continuous	3703	TRUE	0.0392178023455536	0.00819779633087476	0.000202862369570294	None	None	0.000202862369570294	logLBXB12	WTDR4YR (46 observations are missing weights)	0.0419925105010508	0.00599893007157868	food component recall	Discovery	VB12
LBXPDT	continuous	486	TRUE	0.0267830783874759	0.00598115951918044	0.00038054118957282	None	None	0.00038054118957282	logLBXB12	WTSPO4YR	0.0787720262415737	0.00984650328019672	pesticides	Discovery	VB12
DR1TCALC	continuous	3703	TRUE	6.25302889541673e-05	1.56318803700105e-05	0.00103164079113352	None	None	0.00103164079113352	logLBXB12	WTDR4YR (46 observations are missing weights)	0.213549643764639	0.023727738196071	food component recall	Discovery	VB12
LBXGTC	continuous	3433	TRUE	-0.000423206480003519	0.000109403407959948	0.00136173093180191	None	None	0.00136173093180191	logLBXB12	WTMEC4YR	0.281878302882996	0.0281878302882996	nutrients	Discovery	VB12
DR1TCOPP	continuous	3703	TRUE	-0.0616727308361892	0.0174294247007988	0.00273250988404989	None	None	0.00273250988404989	logLBXB12	WTDR4YR (46 observations are missing weights)	0.565629545998326	0.0514208678180297	food component recall	Discovery	VB12
LBXBPB	continuous	3744	TRUE	-0.0230710811750644	0.0068374001517881	0.0038645275412387	None	None	0.0038645275412387	logLBXB12	WTMEC4YR	0.799957201036412	0.0666631000863677	heavy metals	Discovery	VB12
LBXCBC	continuous	2001	TRUE	0.108268419814453	0.0155782050310766	0.00611027422233679	None	None	0.00611027422233679	logLBXB12	WTMEC4YR	1	0.0972943664633627	nutrients	Discovery	VB12
