"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBX178" "continuous" 485 TRUE "8.80777765859655" "4.6379960504768" "0.0757418905713495" "None" "None" 0.0757418905713495 "logLBXB12" "WTSPO4YR" 1 0.382404179226081
"LBXCRY" "continuous" 1987 TRUE "0.00240001159745971" "0.000930844643105947" "0.081899402219561" "None" "None" 0.081899402219561 "logLBXB12" "WTMEC4YR" 1 0.386740987123055
"LBXODT" "continuous" 485 TRUE "1.88163884317772" "1.01416394479376" "0.0820631506560794" "None" "None" 0.0820631506560794 "logLBXB12" "WTSPO4YR" 1 0.386740987123055
"LBXMIR" "continuous" 470 TRUE "6.15066406359182" "3.3221831505978" "0.0826597962271434" "None" "None" 0.0826597962271434 "logLBXB12" "WTSPO4YR" 1 0.386740987123055
"LBXDIE" "continuous" 247 TRUE "-5.312417105937" "2.08476376060278" "0.0840741276354468" "None" "None" 0.0840741276354468 "logLBXB12" "WTSPO4YR" 1 0.386740987123055
"DR1TMFAT" "continuous" 3703 TRUE "-0.00110183732337767" "0.000605326750117236" "0.0874806236456021" "None" "None" 0.0874806236456021 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.392409947897248
"RIBOFLAVIN_mg" "continuous" 3748 TRUE "0.00469635295907836" "0.00259449374903846" "0.0890979108752205" "None" "None" 0.0890979108752205 "logLBXB12" "WTMEC4YR" 1 0.392409947897248
"DR1TM181" "continuous" 3703 TRUE "-0.00115500001740553" "0.000644052323428594" "0.0918414708616412" "None" "None" 0.0918414708616412 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.396066343090828
"LBXF10" "continuous" 216 TRUE "0.00370206118246117" "0.00128186319816462" "0.101896458274023" "None" "None" 0.101896458274023 "logLBXB12" "WTSPO4YR" 1 0.405432579208668
"DR1TFA" "continuous" 2017 TRUE "9.55922599077987e-05" "4.10254885648868e-05" "0.102141286562379" "None" "None" 0.102141286562379 "logLBXB12" "WTDR4YR" 1 0.405432579208668
"VITAMIN_C_mg" "continuous" 3741 TRUE "0.000100506533544755" "5.81242335000039e-05" "0.10302155903562" "None" "None" 0.10302155903562 "logLBXB12" "WTMEC4YR" 1 0.405432579208668
"LBXRPL" "continuous" 3217 TRUE "0.0133987647511607" "0.00779974069298141" "0.105112606189397" "None" "None" 0.105112606189397 "logLBXB12" "WTMEC4YR" 1 0.405432579208668
"LBX128" "continuous" 484 TRUE "9.48509013284949" "5.54789037273705" "0.106645056695289" "None" "None" 0.106645056695289 "logLBXB12" "WTSPO4YR" 1 0.405432579208668
"LBX105" "continuous" 484 TRUE "10.2244094058295" "6.01079167483182" "0.108291291112078" "None" "None" 0.108291291112078 "logLBXB12" "WTSPO4YR" 1 0.405432579208668
"URXP03" "continuous" 997 TRUE "-1.36169386681536e-05" "8.02990228393288e-06" "0.109295370679587" "None" "None" 0.109295370679587 "logLBXB12" "WTSPH4YR" 1 0.405432579208668
"DRD360" "categorical" 2023 TRUE "None" "None" "None" "0.109682243650654" "None" 0.109682243650654 "logLBXB12" "WTDR4YR (45 observations are missing weights)" 1 0.405432579208668
"URXP04" "continuous" 998 TRUE "-2.75336118537412e-06" "1.6475754344404e-06" "0.114130970371266" "None" "None" 0.114130970371266 "logLBXB12" "WTSPH4YR" 1 0.41447562924302
