Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
cigarette_smoking	categorical	3668	TRUE	None	None	None	4.1909277395627e-07	None	4.1909277395627e-07	logLBXRBF	WTMEC4YR	0.00013369059489205	1.48545105435611e-05	smoking behavior	Discovery	Folate
SMQ040	categorical	3668	TRUE	None	None	None	6.65629748930005e-07	None	6.65629748930005e-07	logLBXRBF	WTMEC4YR	0.000212335889908672	2.12335889908672e-05	smoking behavior	Discovery	Folate
supplement_count	continuous	9975	TRUE	0.0288237010860403	0.00380549330746478	7.62288690177362e-07	None	None	7.62288690177362e-07	logLBXRBF	WTMEC4YR	0.000243170092166579	2.21063720151435e-05	supplement use	Discovery	Folate
SMQ020	categorical	7640	TRUE	None	None	None	8.87488327959804e-07	None	8.87488327959804e-07	logLBXRBF	WTMEC4YR	0.000283108776619178	2.35923980515981e-05	smoking behavior	Discovery	Folate
DR1TMAGN	continuous	9632	TRUE	0.000271230269418699	3.68468671065449e-05	1.11224791905937e-06	None	None	1.11224791905937e-06	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.000354807086179938	2.72928527830721e-05	food component recall	Discovery	Folate
DR1TNIAC	continuous	9632	TRUE	0.00292442956041146	0.000413894380818569	1.89619622024749e-06	None	None	1.89619622024749e-06	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.000604886594258949	4.32061853042106e-05	food component recall	Discovery	Folate
DR1TFIBE	continuous	9632	TRUE	0.00392935418359759	0.000561541503123931	2.14835797136927e-06	None	None	2.14835797136927e-06	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.000685326192866797	4.56884128577865e-05	food component recall	Discovery	Folate
LBXBCD	continuous	9980	TRUE	-0.0670997296445815	0.00985297543418773	3.03719015087102e-06	None	None	3.03719015087102e-06	logLBXRBF	WTMEC4YR	0.000968863658127856	6.0553978632991e-05	heavy metals	Discovery	Folate
LBXGTC	continuous	9237	TRUE	-0.000361177750363302	5.33418933567354e-05	3.26676593189937e-06	None	None	3.26676593189937e-06	logLBXRBF	WTMEC4YR	0.0010420983322759	6.12999018985823e-05	nutrients	Discovery	Folate
DR1TZINC	continuous	9632	TRUE	0.00300235400486149	0.000450597457471221	3.99898670586977e-06	None	None	3.99898670586977e-06	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.00127567675917246	7.08709310651364e-05	food component recall	Discovery	Folate
LBXBPB	continuous	9980	TRUE	-0.0183818432055018	0.00295799089332817	9.42918771744452e-06	None	None	9.42918771744452e-06	logLBXRBF	WTMEC4YR	0.0030079108818648	0.000158311099045516	heavy metals	Discovery	Folate
DR1TVC	continuous	9632	TRUE	0.000380864017230461	6.30743849820512e-05	1.32977371642295e-05	None	None	1.32977371642295e-05	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.00424197815538921	0.000212098907769461	food component recall	Discovery	Folate
URXP04	continuous	3176	TRUE	-1.50400585807509e-05	2.51410635392266e-06	1.48498384163347e-05	None	None	1.48498384163347e-05	logLBXRBF	WTSPH4YR	0.00473709845481077	0.00021652625194434	hydrocarbons	Discovery	Folate
URXMNP	continuous	3347	TRUE	0.000926634658389599	0.000154970061413723	1.49328449616786e-05	None	None	1.49328449616786e-05	logLBXRBF	WTSPH4YR	0.00476357754277549	0.00021652625194434	phthalates	Discovery	Folate
DR1TCALC	continuous	9632	TRUE	5.54955331811244e-05	9.4337221431943e-06	1.80857162827615e-05	None	None	1.80857162827615e-05	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.00576934349420091	0.000250841021486996	food component recall	Discovery	Folate
LBXRPL	continuous	8751	TRUE	0.0136481609953893	0.00248113217429264	3.89755403942812e-05	None	None	3.89755403942812e-05	logLBXRBF	WTMEC4YR	0.0124331973857757	0.000518049891073988	nutrients	Discovery	Folate
DR1TPHOS	continuous	9632	TRUE	4.43012045624894e-05	8.10992593724955e-06	4.21284490466639e-05	None	None	4.21284490466639e-05	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.0134389752458858	0.000537559009835432	food component recall	Discovery	Folate
DR1TPOTA	continuous	9632	TRUE	2.45288749485973e-05	4.93136497390339e-06	0.000115695549266669	None	None	0.000115695549266669	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.0369068802160676	0.00141949539292568	food component recall	Discovery	Folate
URXP03	continuous	3175	TRUE	-3.29676065349715e-05	7.18229596449912e-06	0.000260485587487132	None	None	0.000260485587487132	logLBXRBF	WTSPH4YR	0.0830949024083952	0.00307758897808871	hydrocarbons	Discovery	Folate
URXMZP	continuous	3347	TRUE	-0.000497918531729685	0.000110899002635765	0.000322689163988997	None	None	0.000322689163988997	logLBXRBF	WTSPH4YR	0.10293784331249	0.00357287540060917	phthalates	Discovery	Folate
DR1TCAFF	continuous	9632	TRUE	-0.000104010733014848	2.31815968964892e-05	0.000324806854600834	None	None	0.000324806854600834	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.103613386617666	0.00357287540060917	food component recall	Discovery	Folate
URXUPB	continuous	3211	TRUE	-0.0305527230146222	0.00694967963583206	0.000394321561419336	None	None	0.000394321561419336	logLBXRBF	WTSHM4YR	0.125788578092768	0.00419295260309227	heavy metals	Discovery	Folate
DR1TFDFE	continuous	5117	TRUE	0.000133532137873798	1.45035544107932e-05	0.00077321247763806	None	None	0.00077321247763806	logLBXRBF	WTDR4YR	0.246654780366541	0.00775716660518084	food component recall	Discovery	Folate
DR1TCARB	continuous	9632	TRUE	0.000143094702241298	3.50641375491273e-05	0.00077814837418742	None	None	0.00077814837418742	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.248229331365787	0.00775716660518084	food component recall	Discovery	Folate
LBXBEC	continuous	5243	TRUE	0.00178862701065636	0.000201515895222849	0.000890068844233135	None	None	0.000890068844233135	logLBXRBF	WTMEC4YR	0.28393196131037	0.00860399882758697	nutrients	Discovery	Folate
LBXCBC	continuous	5241	TRUE	0.0300914444593921	0.00360320555174789	0.00112388520030676	None	None	0.00112388520030676	logLBXRBF	WTMEC4YR	0.358519378897857	0.0104967285628825	nutrients	Discovery	Folate
quantity_drink_per_day	continuous	4749	TRUE	-0.0106408337952517	0.0027284143462855	0.00115167868244792	None	None	0.00115167868244792	logLBXRBF	WTMEC4YR	0.367385499700886	0.0104967285628825	alcohol use	Discovery	Folate
SMD080	continuous	1658	TRUE	-0.00411447363899312	0.00107734990704141	0.00137282269575391	None	None	0.00137282269575391	logLBXRBF	WTMEC4YR	0.437930439945497	0.0121647344429305	smoking behavior	Discovery	Folate
DR1TFA	continuous	5117	TRUE	0.000226698927702143	2.94737658970571e-05	0.00153700233573428	None	None	0.00153700233573428	logLBXRBF	WTDR4YR	0.490303745099237	0.0132514525702496	food component recall	Discovery	Folate
COPPER_mg	continuous	9980	TRUE	0.0379091000411523	0.010139270184849	0.00163404839466556	None	None	0.00163404839466556	logLBXRBF	WTMEC4YR	0.521261437898315	0.013717406260482	supplement use	Discovery	Folate
LBXRST	continuous	7923	TRUE	0.048265136897307	0.0129684179781877	0.00169584310011705	None	None	0.00169584310011705	logLBXRBF	WTMEC4YR	0.540973948937338	0.0138711268958292	nutrients	Discovery	Folate
LBXCRY	continuous	5219	TRUE	0.00459784457863124	0.000709233171358355	0.00291849062631096	None	None	0.00291849062631096	logLBXRBF	WTMEC4YR	0.930998509793195	0.022910612579982	nutrients	Discovery	Folate
LBXMIR	continuous	3031	TRUE	0.00954061524983246	0.00275147680501309	0.00294462418739581	None	None	0.00294462418739581	logLBXRBF	WTSPO4YR	0.939335115779263	0.022910612579982	pesticides	Discovery	Folate
DRD350HQ	continuous	2468	TRUE	-0.0137963157376526	0.00402814730919103	0.00322840705288484	None	None	0.00322840705288484	logLBXRBF	WTDR4YR (6 observations are missing weights)	1	0.0245205202350063	food component recall	Discovery	Folate
smell_tobacco	categorical	5264	TRUE	None	None	None	0.00367883398296277	None	0.00367883398296277	logLBXRBF	WTMEC4YR	1	0.0272918148968633	occupation	Discovery	Folate
num_months_main_job	continuous	5268	TRUE	0.00014646916424679	4.43588308907734e-05	0.00421263004105463	None	None	0.00421263004105463	logLBXRBF	WTMEC4YR	1	0.0302952074932066	occupation	Discovery	Folate
LBXPDE	continuous	3149	TRUE	-0.00228760139840405	0.000696224636727778	0.00436247388395403	None	None	0.00436247388395403	logLBXRBF	WTSPO4YR	1	0.0302952074932066	pesticides	Discovery	Folate
LBXVID	continuous	5167	TRUE	0.00458480947802146	0.000789194863058872	0.00436858791438089	None	None	0.00436858791438089	logLBXRBF	WTMEC4YR	1	0.0302952074932066	nutrients	Discovery	Folate
LBXLUZ	continuous	5237	TRUE	0.0030849172753911	0.00055793484392948	0.00522733204322995	None	None	0.00522733204322995	logLBXRBF	WTMEC4YR	1	0.034986821368987	nutrients	Discovery	Folate
URXP02	continuous	1733	TRUE	-4.26287260226378e-06	7.72491504751075e-07	0.00526447468875039	None	None	0.00526447468875039	logLBXRBF	WTSPH4YR	1	0.034986821368987	hydrocarbons	Discovery	Folate
URXUCS	continuous	3210	TRUE	-0.00410761752077759	0.00131394429748546	0.00614958001135284	None	None	0.00614958001135284	logLBXRBF	WTSHM4YR	1	0.0400350208902358	heavy metals	Discovery	Folate
DR1TPROT	continuous	9632	TRUE	0.000398959594044518	0.000129761331133517	0.00686866953693763	None	None	0.00686866953693763	logLBXRBF	WTDR4YR (16 observations are missing weights)	1	0.0432997221469493	food component recall	Discovery	Folate
DR1TSELE	continuous	9632	TRUE	0.00023759561374302	7.73696494100347e-05	0.00692252611126775	None	None	0.00692252611126775	logLBXRBF	WTDR4YR (16 observations are missing weights)	1	0.0432997221469493	food component recall	Discovery	Folate
URXUUR	continuous	1722	TRUE	0.203989611180462	0.0444218148024944	0.0100907879120527	None	None	0.0100907879120527	logLBXRBF	WTMEC4YR	1	0.0619031027681693	heavy metals	Discovery	Folate
LBX101	continuous	3131	TRUE	-0.831788546022683	0.289183167753763	0.0104744832527136	None	None	0.0104744832527136	logLBXRBF	WTSPO4YR	1	0.0628533103031587	pcbs	Discovery	Folate
URXP20	continuous	1733	TRUE	0.000390591408587081	8.63703446297715e-05	0.0106397453177761	None	None	0.0106397453177761	logLBXRBF	WTMEC4YR	1	0.0628533103031587	hydrocarbons	Discovery	Folate
DSDCOUNT	continuous	9986	TRUE	0.0119538024246239	0.00424405135440374	0.0118826446684425	None	None	0.0118826446684425	logLBXRBF	WTMEC4YR	1	0.0689193390769664	supplement use	Discovery	Folate
DR1TP226	continuous	9632	TRUE	0.0495280480136764	0.0180912088852323	0.0140252240638799	None	None	0.0140252240638799	logLBXRBF	WTDR4YR (16 observations are missing weights)	1	0.0797528421367629	food component recall	Discovery	Folate
DR1TVB12	continuous	9632	TRUE	0.00158839726705232	0.000581814709200951	0.0142505078426191	None	None	0.0142505078426191	logLBXRBF	WTDR4YR (16 observations are missing weights)	1	0.0797528421367629	food component recall	Discovery	Folate
DR1TCRYP	continuous	5117	TRUE	9.96957433277562e-05	2.45519907910921e-05	0.0153411654118438	None	None	0.0153411654118438	logLBXRBF	WTDR4YR	1	0.0840825601425178	food component recall	Discovery	Folate
DR1TM221	continuous	9632	TRUE	0.00517780937525178	0.00192608176733143	0.0155513199009672	None	None	0.0155513199009672	logLBXRBF	WTDR4YR (16 observations are missing weights)	1	0.0840825601425178	food component recall	Discovery	Folate
age_started_birth_control	continuous	2562	TRUE	0.00437138897254554	0.0016419616638947	0.0158707836387922	None	None	0.0158707836387922	logLBXRBF	WTMEC4YR	1	0.0843623277973552	NA	Discovery	Folate
DR1TP184	continuous	9632	TRUE	0.391240216459786	0.1464952865684	0.0161319811775507	None	None	0.0161319811775507	logLBXRBF	WTDR4YR (16 observations are missing weights)	1	0.0843623277973552	food component recall	Discovery	Folate
ever_loud_noise_gt3	categorical	5270	TRUE	None	None	None	0.017256067358432	None	0.017256067358432	logLBXRBF	WTMEC4YR	1	0.0887852497958036	occupation	Discovery	Folate
DR1TFF	continuous	5117	TRUE	0.000241185933425491	6.20167219193652e-05	0.0177049063446536	None	None	0.0177049063446536	logLBXRBF	WTDR4YR	1	0.0896486527610238	food component recall	Discovery	Folate
LBXF08	continuous	2283	TRUE	-0.000240128053003569	9.24084748804967e-05	0.0187361555882854	None	None	0.0187361555882854	logLBXRBF	WTSPO4YR	1	0.0933880255103598	furans	Discovery	Folate
supplement_count	continuous	9568	TRUE	0.0499509587949684	0.00319779273249036	4.15446263241886e-11	None	None	4.15446263241886e-11	logLBXB12	WTMEC4YR	1.32527357974162e-08	1.32527357974162e-08	supplement use	Discovery	VB12
LBXRBF	continuous	9562	TRUE	0.000843021700943724	7.00154690666424e-05	1.95939564802709e-09	None	None	1.95939564802709e-09	logLBXB12	WTMEC4YR	6.25047211720643e-07	2.72359221524042e-07	nutrients	Discovery	VB12
FOLIC_ACID_mcg	continuous	9564	TRUE	0.000292820106971148	2.50927500217564e-05	3.08022866840825e-09	None	None	3.08022866840825e-09	logLBXB12	WTMEC4YR	9.82592945222231e-07	2.72359221524042e-07	supplement use	Discovery	VB12
COPPER_mg	continuous	9571	TRUE	0.0719645574021267	0.00629636915533	4.15291463394866e-09	None	None	4.15291463394866e-09	logLBXB12	WTMEC4YR	1.32477976822962e-06	2.72359221524042e-07	supplement use	Discovery	VB12
LBXGTC	continuous	8946	TRUE	-0.000521400944713662	4.57064544851281e-05	4.26895331542385e-09	None	None	4.26895331542385e-09	logLBXB12	WTMEC4YR	1.36179610762021e-06	2.72359221524042e-07	nutrients	Discovery	VB12
DR1TCALC	continuous	9563	TRUE	0.000109171435154296	9.81507952238021e-06	6.12907307232941e-09	None	None	6.12907307232941e-09	logLBXB12	WTDR4YR (16 observations are missing weights)	1.95517431007308e-06	3.2586238501218e-07	food component recall	Discovery	VB12
DR1TVB2	continuous	9563	TRUE	0.0587605074102698	0.00546417675037789	9.90184706067494e-09	None	None	9.90184706067494e-09	logLBXB12	WTDR4YR (16 observations are missing weights)	3.15868921235531e-06	4.51241316050758e-07	food component recall	Discovery	VB12
LBXFOL	continuous	9573	TRUE	0.0118406819672048	0.00112840010501219	1.39982908799541e-08	None	None	1.39982908799541e-08	logLBXB12	WTMEC4YR	4.46545479070536e-06	5.5818184883817e-07	nutrients	Discovery	VB12
LBXVIE	continuous	9509	TRUE	0.000133606933162234	1.33071852837956e-05	2.59761333488035e-08	None	None	2.59761333488035e-08	logLBXB12	WTMEC4YR	8.28638653826832e-06	9.20709615363146e-07	nutrients	Discovery	VB12
DR1TPHOS	continuous	9563	TRUE	8.48775934848966e-05	9.22619866281225e-06	8.65506047128246e-08	None	None	8.65506047128246e-08	logLBXB12	WTDR4YR (16 observations are missing weights)	2.7609642903391e-05	2.7609642903391e-06	food component recall	Discovery	VB12
DR1TMAGN	continuous	9563	TRUE	0.00033307532648346	3.80673488300766e-05	1.70259886151485e-07	None	None	1.70259886151485e-07	logLBXB12	WTDR4YR (16 observations are missing weights)	5.43129036823237e-05	4.93753669839306e-06	food component recall	Discovery	VB12
MAGNESIUM_mg	continuous	9566	TRUE	0.000425655485092492	5.11107270737415e-05	3.27936516743322e-07	None	None	3.27936516743322e-07	logLBXB12	WTMEC4YR	0.00010461174884112	8.71764573675998e-06	supplement use	Discovery	VB12
taking_birth_control	categorical	1418	TRUE	None	None	None	6.11740262814916e-07	None	6.11740262814916e-07	logLBXB12	WTMEC4YR	0.000195145143837958	1.50111649106122e-05	reproductive health	Discovery	VB12
DR1TPOTA	continuous	9563	TRUE	3.21238165584165e-05	4.17629193784063e-06	9.19471668666578e-07	None	None	9.19471668666578e-07	logLBXB12	WTDR4YR (16 observations are missing weights)	0.000293311462304638	2.09508187360456e-05	food component recall	Discovery	VB12
DR1TPROT	continuous	9563	TRUE	0.000875322967464544	0.000119096663827236	1.63613736494025e-06	None	None	1.63613736494025e-06	logLBXB12	WTDR4YR (16 observations are missing weights)	0.000521927819415941	3.47951879610627e-05	food component recall	Discovery	VB12
SELENIUM_mcg	continuous	9575	TRUE	0.00103046543263519	0.000141242226851651	1.79426994692526e-06	None	None	1.79426994692526e-06	logLBXB12	WTMEC4YR	0.000572372113069158	3.57732570668223e-05	supplement use	Discovery	VB12
LBXRPL	continuous	8472	TRUE	0.0198240111993364	0.00275431213193528	2.12478247264843e-06	None	None	2.12478247264843e-06	logLBXB12	WTMEC4YR	0.000677805608774848	3.98709181632263e-05	nutrients	Discovery	VB12
DR1TVB1	continuous	9563	TRUE	0.0449303739391799	0.00639429261180213	2.85931692001859e-06	None	None	2.85931692001859e-06	logLBXB12	WTDR4YR (16 observations are missing weights)	0.000912122097485931	5.06734498603295e-05	food component recall	Discovery	VB12
DR1TIRON	continuous	9563	TRUE	0.0042959704744596	0.000645405385699417	5.51820752568881e-06	None	None	5.51820752568881e-06	logLBXB12	WTDR4YR (16 observations are missing weights)	0.00176030820069473	9.26478000365648e-05	food component recall	Discovery	VB12
VITAMIN_A_IU	continuous	9572	TRUE	1.37779831852372e-05	2.12355429944169e-06	7.48243280050746e-06	None	None	7.48243280050746e-06	logLBXB12	WTMEC4YR	0.00238689606336188	0.000119344803168094	supplement use	Discovery	VB12
DR1TZINC	continuous	9563	TRUE	0.0043610259130223	0.000715341005344925	1.54459360137827e-05	None	None	1.54459360137827e-05	logLBXB12	WTDR4YR (16 observations are missing weights)	0.00492725358839667	0.000229811719344934	food component recall	Discovery	VB12
