ID,SDMVPSU,SDMVSTRA,WTMEC8YR,WTDR8YR,WTSVOC8Y,WTSHM8YR,WTSPO8YR,WTSAU8YR,WTSAF8YR,WTSCI8YR,WTSPH8YR
146,146,1,1545.84402,644.9160243,NA,4266.529494,NA,NA,NA,4084.538861,NA
147,147,1,5763.847714,3892.712114,NA,16657.51989,NA,NA,NA,12651.36913,NA
148,148,2,0,NA,NA,NA,NA,NA,NA,NA,NA
149,149,2,47445.38902,39782.66359,NA,NA,NA,132847.0893,NA,104275.9677,NA
150,150,1,21192.99486,13214.32535,2.435,NA,NA,NA,20672.48584,0,NA
151,151,2,10336.0788,7365.957344,3.205,NA,NA,29664.54616,NA,23466.43572,NA
152,152,1,5353.269119,4387.107829,NA,NA,NA,NA,NA,13990.12428,NA
153,153,2,0,NA,NA,NA,NA,NA,NA,NA,NA
154,154,2,2955.22666,4294.140315,NA,NA,NA,NA,NA,NA,NA
155,155,2,14724.43994,13788.2979,NA,NA,NA,NA,NA,38879.62441,NA
156,156,2,22760.55842,25046.12814,NA,NA,NA,61908.71891,19157.48706,0,NA
157,157,1,0,NA,NA,NA,NA,NA,NA,NA,NA
158,158,2,9870.412731,10218.64047,NA,NA,NA,NA,NA,NA,11476.40029
159,159,2,28244.03953,21026.89563,NA,90380.92649,NA,NA,NA,NA,NA
160,160,2,22724.8325,NA,NA,NA,NA,79309.66542,NA,NA,NA
161,161,2,1265.243158,695.6454861,NA,3858.991632,NA,NA,NA,0,NA
162,162,1,1309.851309,884.6302522,4.5,3667.583665,NA,NA,1537.549588,2395.153061,NA
163,163,1,3102.326753,2095.208883,3.105,9617.212935,NA,NA,NA,10281.81675,NA
164,164,2,37577.37727,45409.93827,2.3,NA,NA,125884.2139,NA,NA,NA
165,165,2,0,NA,NA,NA,NA,NA,NA,NA,NA
166,166,1,6382.547405,7962.223703,NA,NA,NA,19530.59506,7937.273138,14153.97604,NA
167,167,1,3531.22936,NA,NA,NA,NA,NA,NA,NA,3364.354057
168,168,1,0,NA,NA,NA,NA,NA,NA,NA,NA
169,169,1,624.9488576,1023.558423,NA,2006.085833,NA,NA,843.3041027,1629.054421,NA
170,170,1,11441.54916,NA,NA,NA,NA,NA,NA,NA,15094.97821
171,171,2,0,NA,NA,NA,NA,NA,NA,NA,NA
172,172,1,15042.50776,8241.170134,NA,44676.24806,NA,NA,NA,43422.85954,NA
173,173,2,11189.80634,8645.016111,2.295,40171.40475,NA,NA,NA,NA,NA
174,174,2,11361.89699,10768.77019,NA,NA,NA,NA,NA,NA,NA
175,175,1,1210.641471,2693.002464,NA,3692.456487,NA,NA,NA,NA,NA
176,176,1,1780.969989,NA,NA,NA,NA,NA,NA,NA,NA
177,177,1,55906.55289,34859.03638,2.92,171633.1174,NA,NA,55555.0887,114890.821,NA
178,178,2,4399.651556,7897.669981,3.59,NA,NA,13858.9024,NA,10873.51151,NA
179,179,1,0,NA,NA,NA,NA,NA,NA,NA,NA
180,180,1,4378.712144,6930.409023,NA,NA,NA,NA,NA,NA,NA
181,181,3,15640.25801,8871.736442,NA,NA,NA,47233.57918,NA,37735.66888,NA
182,182,1,3447.160577,5008.952919,NA,NA,7928.469328,13306.03983,NA,NA,NA
183,183,1,35858.39433,19835.59036,NA,NA,107216.599,NA,37532.51631,NA,NA
184,184,1,13279.52952,14613.0333,NA,46876.73922,NA,NA,NA,NA,NA
185,185,2,24614.57237,18324.85908,NA,74336.00855,52675.18487,NA,NA,NA,NA
186,186,3,20846.87593,14961.42161,NA,NA,57745.84632,NA,NA,NA,NA
187,187,2,7947.706119,NA,3.84,NA,NA,25035.27427,NA,NA,NA
188,188,1,57076.5771,31572.73558,NA,184928.1098,NA,NA,53561.18858,NA,NA
