LBXZTO	volatile compounds
LBXZTE	volatile compounds
LBXZEB	volatile compounds
LBXZCF	volatile compounds
LBXZBZ	volatile compounds
LBDC2	bacterial infection
LBDC1	bacterial infection
LBXHP1	bacterial infection
LBXWIO	perchlorate
LBXWNO	perchlorate
LBXWP8	perchlorate
LBDTLY	nutrients
URXDCB	pesticides
URXBUP	phenols
URXEPB	phenols
URXMPB	phenols
URXPPB	phenols
SSMEL	melamine
LBXACR	acrylamide
LBXGLY	acrylamide
URXAAZ	pesticides
URXAPE	pesticides
URXDAM	pesticides
URXDCZ	pesticides
URXDTZ	pesticides
URXETU	pesticides
URXMMI	pesticides
URXMTO	pesticides
URXOMO	pesticides
URXPTU	pesticides
URXSIS	pesticides
drink_five_per_day	alcohol use
quantity_drink_per_day	alcohol use
total_days_5drink_year	alcohol use
total_days_drink_year	alcohol use
DUQ100	street drug
DUQ110	street drug
DUQ120	street drug
DUQ130	street drug
DUQ200	street drug
DUQ210	street drug
DUQ230	street drug
DUQ240	street drug
DUQ250	street drug
DUQ260	street drug
DUQ272	street drug
DUQ280	street drug
DUQ290	street drug
DUQ300	street drug
DUQ320	street drug
DUQ330	street drug
DUQ340	street drug
DUQ352	street drug
DUQ360	street drug
DUQ370	street drug
last_time_used_cocaine	street drug
last_time_used_heroin	street drug
last_time_used_marijuana	street drug
last_time_used_meth	street drug
SMD450	smoking family
SMD440	smoking family
SMD430	smoking family
SMD415C	smoking family
SMD415B	smoking family
SMD415A	smoking family
SMD415	smoking family
SMD410	smoking family
DED038Q	sun exposure
hepa	immunization
hepb	immunization
pneu	immunization
current_loud_noise	occupation
ever_loud_noise_gt3	occupation
ever_loud_noise_gt3_2	occupation
industry_agriculture	occupation
industry_construction	occupation
industry_manufacturing	occupation
industry_mining	occupation
industry_other	occupation
industry_transport	occupation
num_months_longest_job	occupation
num_months_main_job	occupation
occupation_construction	occupation
occupation_farm	occupation
occupation_household	occupation
occupation_laborer	occupation
occupation_midmanage	occupation
occupation_military	occupation
occupation_repair	occupation
occupation_transport	occupation
smell_tobacco	occupation
SMD650	smoking behavior
SMD641	smoking behavior
SMQ077	smoking behavior
SMQ230	smoking behavior
SMQ210	smoking behavior
SMQ180	smoking behavior
SMQ150	smoking behavior
SMQ120	smoking behavior
SMQ050	smoking behavior
SMQ040	smoking behavior
SMQ020	smoking behavior
SMD235	smoking behavior
